drift.est [0,0.05) [0.05,0.1) [0.1,0.15) [0.15,0.2) [0.2,0.25) [0.25,0.3) [0.3,0.35) [0.35,0.4) [0.4,0.45) [0.45,0.51)
PEL 0.0001 0.007029 0.012254 0.016864 0.020187 0.024984 0.024494 0.02731 0.033527 0.035545
file pos log10.pval.target.1 obs.freq.target.1 exp.freq.target.1 AIC.neutral.target.1 AIC.postadmix.target.1 AIC.insurr.source1target.1 AIC.insurr.source2target.1 AIC.insurr.source3target.1 sel.postadmix.target.1 sel.insurr.source1target.1 sel.insurr.source2target.1 sel.insurr.source3target.1
1 5392596 0.228 1 0.9884 3.978 2.34 2.34 5.912 5.971 19.1 19.1 1677721.5 209715.1
1 5543861 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 5610291 1.881 0.9353 0.9874 83.044 66.122 67.94 66.579 85.042 -0.819 -0.985 -0.865 3276.7
1 5735708 0 1 0.9983 0.573 2.34 2.522 2.551 2.34 12.7 6710886.3 3355443.1 51.1
1 5760600 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 5913390 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 5924873 0 1 0.9982 0.608 2.34 2.554 2.585 2.34 19.1 6710886.3 3355443.1 51.1
1 6565218 0.017 0.9647 0.9275 46.525 44.234 46.632 44.447 48.478 1.148 1.806 3.463 0.725
1 8347009 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 8570468 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 8577760 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 8694711 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 9106903 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 9276501 0.359 0.9824 0.991 30.661 31.52 31.314 30.153 31.721 -0.501 -0.923 -0.698 3355443.1
1 9564824 0.307 0.9941 0.9958 6.433 8.329 8.401 8.417 8.119 -0.293 419430.3 209715.1 -0.539
1 10021628 0 1 0.9974 0.884 2.34 2.824 2.861 2.34 38.3 6710886.3 3355443.1 102.3
1 10164447 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 10324783 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 10605852 0 1 0.9984 0.539 2.34 2.489 2.517 2.34 12.7 6710886.3 3355443.1 38.3
1 10617351 0.088 0.9941 0.9455 23.453 12.949 13.594 24.601 24.625 8.75 16.875 3355443.1 3355443.1
1 11395595 0 1 0.9985 0.504 2.34 2.457 2.483 2.34 9.5 6710886.3 3355443.1 38.3
1 12082583 2.061 1 0.9617 13.276 2.34 2.34 15.207 15.268 51.1 51.1 419430.3 52428.7
1 13861989 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 13875896 0.524 0.8294 0.6447 153.914 127.35 127.047 141.014 155.435 1.685 3.344 3355443.1 419430.3
1 13940478 0 1 0.9967 1.128 2.34 3.065 3.104 2.34 51.1 6710886.3 1677721.5 153.5
1 14174127 0.061 0.8824 0.8281 104.014 102.145 101.315 105.484 104.395 0.557 0.843 1.203 -0.999
1 14190669 0.336 0.1706 0.3054 141.593 127.303 127.111 132.164 142.133 -0.533 -0.685 -1.163 -1.034
1 14378357 0.331 0.1471 0.2827 125.216 109.56 102.543 121.469 126.94 -0.565 -0.912 -0.795 -0.844
1 14551841 0 1 0.9986 0.47 2.34 2.426 2.449 2.34 9.5 6710886.3 3355443.1 25.5
1 14775138 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 15053887 0.171 0.7824 0.6932 145.16 140.383 137.41 146.603 146.702 0.591 1.106 0.738 -0.794
1 15166787 0.496 0.9882 0.9954 23.863 24.513 22.066 21.209 24.86 -0.619 -0.926 -0.922 3355443.1
1 15340867 0.375 0.0235 0.0125 32.881 33.539 33.91 33.624 33.97 0.913 11.85 1.094 9.675
1 15668798 0.468 1 0.9846 5.291 2.34 2.34 7.224 7.283 19.1 19.1 1677721.5 104857.5
1 16377042 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 16769716 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 17079773 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 17236231 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 17597865 0.812 0.9882 0.9974 20.321 19.409 21.01 18.863 22.314 -0.779 -0.898 -0.849 26214.3
1 18420041 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 18462001 0.117 0.9588 0.9099 53.986 49.862 49.066 54.02 55.979 1.308 3.375 4.75 13107.1
1 18519522 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 19854138 1.145 0.9941 0.9988 11.338 11.719 12.921 12 9.512 -0.801 -0.795 -0.959 -0.973
1 20228375 0 1 0.9978 0.746 2.34 2.688 2.723 2.34 25.5 6710886.3 3355443.1 76.7
1 20318161 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 20658287 0.95 1 0.9085 32.703 2.34 2.34 34.631 34.695 153.5 153.5 209715.1 26214.3
1 20818659 0 0.9294 0.909 73.187 74.268 74.119 74.86 74.993 0.318 0.575 0.644 209715.1
1 21110331 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 21475073 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 21748060 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 21749938 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 21839725 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 22230036 0 1 0.9986 0.47 2.34 2.426 2.449 2.34 9.5 6710886.3 3355443.1 25.5
1 22257778 0 1 0.998 0.677 2.34 2.62 2.654 2.34 19.1 6710886.3 3355443.1 76.7
1 22469072 0.879 0.9941 0.9983 11.863 12.811 12.849 12.748 13.856 -0.71 -0.841 -0.827 52428.7
1 22607782 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 23079149 0.205 0.9882 0.9919 18.27 20.016 20.248 19.981 20.263 -0.317 -0.597 -0.363 52428.7
1 23278219 0.05 0.4824 0.4552 181.432 182.925 183.363 177.041 179.554 0.116 0.054 1677721.5 -1.108
1 23324467 0.701 0.7588 0.4981 192.095 145.342 146.695 173.233 193.874 2.188 3.202 13421772.7 104857.5
1 24179122 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 24644803 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 24670264 0.169 0.5176 0.5974 172.208 169.768 169.409 172.952 171.929 -0.278 -0.342 -0.543 -1.003
1 25506288 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 25598123 0 1 0.998 0.677 2.34 2.62 2.654 2.34 19.1 6710886.3 3355443.1 76.7
1 25895599 0.142 0.5588 0.4812 178.513 176.406 177.04 177.564 176.863 0.366 0.431 2.613 3355443.1
1 26584637 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 26909765 0.946 0.5176 0.7879 228.477 168.815 165.302 196.732 227.173 -0.716 -0.82 -1.114 -1.293
1 26919742 1.261 0.9882 0.9987 22.188 18.854 21.108 20.372 15.694 -0.893 -0.922 -0.981 -0.986
1 27770660 0 1 0.9982 0.608 2.34 2.554 2.585 2.34 19.1 6710886.3 3355443.1 51.1
1 27939189 0 1 0.9984 0.539 2.34 2.489 2.517 2.34 12.7 6710886.3 3355443.1 38.3
1 28080192 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 28706637 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 30353904 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 30881698 0.68 0.9941 0.9977 8.134 9.468 10.003 10.095 7.508 -0.612 838860.7 3.675 -0.928
1 31196184 0 1 0.9985 0.504 2.34 2.457 2.483 2.34 9.5 6710886.3 3355443.1 38.3
1 31296910 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 31322485 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 31850801 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 32250463 0 1 0.9985 0.504 2.34 2.457 2.483 2.34 9.5 6710886.3 3355443.1 38.3
1 32549054 0.005 1 0.9922 2.672 2.34 2.34 4.605 4.664 9.5 9.5 1677721.5 209715.1
1 32731621 0.593 0.9941 0.9974 11.053 12.543 12.759 12.439 13.045 -0.555 -0.772 -0.663 52428.7
1 32919504 0.558 0.9882 0.9959 17.134 17.509 19.115 18.94 15.557 -0.656 -0.569 -0.65 -0.922
1 33085274 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 33380917 0.332 0.9941 0.996 10.91 12.782 12.772 12.885 12.903 -0.318 -0.338 -0.82 52428.7
1 34087142 1.211 0.9941 0.9989 12.421 12.658 12.83 13.175 11.2 -0.817 -0.857 -0.958 -0.986
1 34207447 0.451 0.9824 0.9035 43.959 28.21 25.362 42.882 45.951 4.95 13421772.7 6710886.3 13107.1
1 34628217 0.851 0.5294 0.7752 236.802 189.214 187.637 208.278 238.284 -0.674 -0.75 -0.999 -0.892
1 34835311 0 0.9941 0.992 9.008 10.901 10.793 11.002 10.734 0.362 1677721.5 0.122 1677721.5
1 35095502 0.935 0.9941 0.9984 8.095 8.925 10.092 10.095 7.287 -0.733 0.566 0.001 -0.929
1 35182625 0.175 0.9824 0.9874 34.265 35.956 32.271 36.209 36.258 -0.29 -0.941 -0.169 26214.3
1 35299994 0.592 0.8235 0.9223 156.793 140.941 130.701 150.502 158.43 -0.615 -0.85 -0.748 209715.1
1 35533347 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 36168179 0.13 0.9765 0.9815 28.786 30.57 30.718 30.758 29.407 -0.218 209715.1 -0.112 -0.837
1 36832011 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 37397839 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 37628970 0.655 0.9941 0.9976 10.182 11.559 12.123 12.181 11.2 -0.599 -0.627 -0.475 -0.787
1 38929744 0.434 0.8824 0.7254 121.182 98.311 92.255 117.335 120.793 1.841 8.662 6.8 3355443.1
1 38974697 0.851 0.9941 0.9982 10.811 11.81 12.448 12.638 11.2 -0.7 -0.786 -0.917 -0.882
1 39211558 0.309 0.9882 0.9215 35.215 21.304 18.074 35.009 37.207 6.163 26843545.5 6710886.3 26214.3
1 40120812 0.275 0.9941 0.9956 10.242 12.169 12.232 12.123 12.235 -0.246 1.456 -0.337 52428.7
1 40540624 0 0.8941 0.8722 90.681 91.907 91.965 91.945 92.646 0.238 0.271 31.9 -0.905
1 40667293 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 40687815 0 0.9647 0.9633 40.248 42.239 41.995 42.221 41.281 0.041 0.314 52428.7 -0.802
1 40765162 0 1 0.9954 1.584 2.34 3.519 3.56 2.34 76.7 3355443.1 1677721.5 307.1
1 40903181 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 40949681 0 1 0.9974 0.893 2.34 2.677 2.34 2.886 6.3 26843545.5 9.5 838860.7
1 41214569 1.377 0.9529 0.9922 68.59 54.951 54.902 59.504 68.056 -0.84 -0.846 -0.995 -0.999
1 41917042 0.715 0.9412 0.7476 110.507 67.85 62.663 94.936 112.476 4.419 26843545.5 13421772.7 26214.3
1 42091403 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 42272877 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 42431553 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 42493443 2.057 0.4353 0.0981 313.605 180.317 180.474 230.063 305.939 6.678 19.6 53687091.1 6710886.3
1 42598403 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 43148026 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 43184499 0.755 0.9412 0.7424 109.961 65.408 64.14 104.68 111.936 4.581 8.038 6710886.3 26214.3
1 43352103 0.468 1 0.9846 5.291 2.34 2.34 7.224 7.283 19.1 19.1 1677721.5 104857.5
1 43757955 0.739 0.8294 0.6027 155.523 116.453 120.804 134.155 157.296 2.211 3.181 13421772.7 104857.5
1 44210577 0 1 0.9985 0.504 2.34 2.457 2.483 2.34 9.5 6710886.3 3355443.1 38.3
1 44426880 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 45300573 0.188 0.8765 0.7846 113.146 105.502 104.075 113.114 113.34 0.948 1.788 2.913 1677721.5
1 45372124 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 45561076 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 45630850 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 45995130 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 46159522 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 46713638 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 47226527 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 47328626 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 47425987 0 1 0.9981 0.642 2.34 2.587 2.62 2.34 19.1 6710886.3 3355443.1 76.7
1 47531960 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 47689096 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 48987092 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 49123707 0.531 0.4353 0.6267 199.047 175.135 173.699 188.81 200.033 -0.546 -0.646 -1.28 -1.422
1 49217854 0.019 1 0.9919 2.761 2.34 4.511 2.34 4.753 25.5 6710886.3 38.3 209715.1
1 50922641 0.117 0.9941 0.9846 11.929 12.594 12.626 13.872 13.922 1.65 1.652 419430.3 52428.7
1 52195447 0 0.9882 0.9875 18.084 20.077 19.99 19.738 18.536 0.059 419430.3 -0.381 13421772.7
1 53217429 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 53261875 0 0.9941 0.9928 10.143 12.098 12.028 12.12 12.115 0.228 838860.7 0.179 209715.1
1 53310416 0.98 0.9882 0.998 19.877 18.038 20.517 20.217 16.706 -0.836 -0.903 -0.974 -0.95
1 53516066 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 53815420 0.646 0.1412 0.3363 144.245 112.646 111.544 130.94 141.358 -0.676 -0.805 -1.261 -1.918
1 54284803 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 54411341 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 54696360 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 55488538 2.007 0.9941 0.9507 21.589 12.735 13.143 22.402 23.581 7.775 12.55 6710886.3 26214.3
1 56310427 0.008 0.8588 0.8235 103.354 103.803 104.035 104.822 104.926 0.305 0.3 419430.3 419430.3
1 56576924 0.788 0.6059 0.819 234.753 194.103 182.103 225.323 227.649 -0.664 -0.797 -0.901 -1.001
1 56726627 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 57016060 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 57602257 1.428 0.9882 0.999 25.195 27.195 27.195 27.195 27.195 0.1 0.1 0.1 0.3
1 58102250 0 1 0.9974 0.893 2.34 2.677 2.34 2.886 6.3 26843545.5 9.5 838860.7
1 58232082 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 58297775 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 58975126 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 59239834 1.618 0.9765 0.999 50.047 34.354 34.155 39.828 45.364 -0.958 -0.967 -0.989 -0.999
1 59284576 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 59595776 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 59695698 0 1 0.9973 0.919 2.34 2.858 2.896 2.34 38.3 6710886.3 1677721.5 153.5
1 60597170 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 60753554 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 61070284 0 0.9529 0.944 52.86 54.586 54.401 54.788 54.631 0.202 0.339 0.85 -0.559
1 61682326 1.071 0.9882 0.9983 22.463 20.157 21.318 19.585 24.456 -0.856 -0.921 -0.923 26214.3
1 61925290 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 62214769 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 62312479 0 1 0.9986 0.47 2.34 2.426 2.449 2.34 9.5 6710886.3 3355443.1 25.5
1 62882473 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 63062591 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 63153242 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 63241003 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 63392183 0.489 0.9765 0.8694 57.989 35.077 26.919 59.39 59.971 5.256 3355443.1 838860.7 -0.211
1 63968443 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 64192865 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 64493650 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 64551711 0.649 0.2588 0.5078 188.573 146.43 146.912 161.655 188.639 -0.664 -0.784 -1.084 -0.994
1 65408600 0.321 0.0059 0.0041 5.678 7.559 7.241 7.595 7.287 0.449 -23.95 -13.141 1.397
1 65721296 1.973 0.9412 0.999 130.156 69.745 68.98 77.74 118.897 -0.984 -0.988 -0.997 -1
1 67361628 0.879 0.9941 0.9983 12.062 13.01 12.823 13.151 14.055 -0.71 -0.849 -0.818 52428.7
1 67550317 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 67924238 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 68222903 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 69404063 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 69571241 0 0.1824 0.1856 130.317 132.306 132.258 131.317 131.955 -0.021 0.064 -0.58 -6.725
1 69779314 0.039 0.3882 0.4223 169.465 170.646 170.572 171.285 170.104 -0.132 -0.176 -0.237 -0.982
1 70002733 0.606 0.8176 0.6155 161.047 130.303 134.231 146.413 161.108 1.805 2.292 13421772.7 1677721.5
1 70194878 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 70422012 0 1 0.9987 0.436 2.34 2.395 2.416 2.34 6.3 6710886.3 3355443.1 19.1
1 70684004 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 70900711 1.267 0.9941 0.999 12.767 14.767 14.767 14.767 14.767 0.1 0.1 0.1 0.3
1 71126095 0 1 0.9974 0.885 2.34 2.707 2.62 2.576 19.1 13421772.7 13421772.7 26843545.5
1 71606137 0.024 0.8176 0.7787 120.37 120.799 120.487 121.913 122.317 0.275 0.475 0.514 52428.7
1 71755606 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 71775933 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 72081573 0.979 1 0.977 7.931 2.34 2.34 9.863 9.923 38.3 38.3 838860.7 104857.5
1 72378458 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 73364214 1.145 0.9941 0.9988 11.874 12.254 12.783 12.931 10.679 -0.801 -0.844 -0.955 -0.972
1 73411775 0 1 0.9974 0.893 2.34 2.677 2.34 2.886 6.3 26843545.5 9.5 838860.7
1 73955180 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 74918377 0.293 0.9941 0.9957 5.617 7.526 7.563 7.605 7.287 -0.275 838860.7 209715.1 -0.551
1 75140417 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 75417267 0 0.0059 0.0065 9.201 11.201 11.201 11.192 11.2 -0.003 -0.003 -4.861 -0.048
1 75660437 0 1 0.9979 0.713 2.34 2.536 2.449 2.576 9.5 13421772.7 13421772.7 13421772.7
1 77003792 0.306 0.9235 0.9448 72.365 73.004 73.397 73.175 74.015 -0.301 -0.532 -0.454 -0.688
1 77165835 0.306 0.0353 0.1259 60.823 45.722 45.558 52.786 61.267 -0.746 -0.82 -4.064 -9.3
1 77189026 0.162 0.9941 0.9835 13.549 13.973 15.473 14.878 13.849 1.841 419430.3 1.345 13421772.7
1 77231396 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 77279074 0 1 0.9985 0.504 2.34 2.457 2.483 2.34 9.5 6710886.3 3355443.1 38.3
1 77781323 0 1 0.998 0.677 2.34 2.62 2.654 2.34 19.1 6710886.3 3355443.1 76.7
1 78458532 0 1 0.9979 0.711 2.34 2.654 2.688 2.34 25.5 6710886.3 3355443.1 76.7
1 79327501 0 1 0.996 1.37 2.34 2.34 3.304 3.363 4.7 4.7 3355443.1 419430.3
1 79665394 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 79944160 0.56 0.9 0.7218 121.256 90.331 88.229 103.542 123.193 2.492 295.9 13421772.7 52428.7
1 80330820 0 1 0.9988 0.401 2.34 2.367 2.384 2.34 4.7 3355443.1 3355443.1 12.7
1 80443389 0.515 1 0.9838 5.537 2.34 2.415 7.224 7.529 19.1 26843545.5 6710886.3 104857.5
1 81218701 0.015 0.9882 0.9819 22.598 24.165 23.475 23.674 24.59 0.547 -0.865 1.286 26214.3
1 81331330 0 1 0.9963 1.267 2.34 3.088 3 2.576 38.3 6710886.3 6710886.3 53687091.1
1 82589936 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 82958721 0 1 0.9971 0.988 2.34 2.927 2.965 2.34 38.3 6710886.3 1677721.5 153.5
1 83586632 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 84926420 0 1 0.9983 0.583 2.34 2.415 2.34 2.576 3.1 13421772.7 4.7 1677721.5
1 85371670 0 1 0.9989 0.367 2.34 2.346 2.354 2.34 1.5 838860.7 1677721.5 6.3
1 85722734 1.267 0.9941 0.999 12.765 12.878 12.937 12.576 14.03 -0.831 -0.862 -0.964 -0.995
